,sentiment,content
17638,sadness,mention unfortun u look like funny people twitter move fb start litter
17639,worry,mention beastypop tire wish tablet make want throw
17640,sadness,upset bout talk someone ink though
17641,sadness,mention crap always forget
17642,worry,cant afford life right every want expense
17643,sadness,mention aha funny mike probably mike ever like sad thought
17644,sadness,damn wish botton everyone
17645,neutral,okay one ear pop know every sound like every really loud
17646,worry,made denis stick although really sure right one
17647,neutral,noth tonight
17648,worry,mention bracelet broke today
17649,worry,mention would love call live norway little hard
17650,worry,go sleep wake december hous organ baby feel like poo today
17651,worry,mention already got shot show prove
17652,neutral,mani people sweet tonight well suppose friday normal person parti im skint
17653,worry,could anth cut jack step like second amp already outside man came back
17654,sadness,internet big fail today twitter usual semi flake self casebook rob com boo
17655,happiness,mom say get new phone impede mobil pay
17656,worry,look mention coal harbour find
17657,worry,mention never get hubby due next week priest hope gone
17658,love,mention noon poor cat want cuddle food hard tell
17659,happiness,mention good mean aha
17660,empty,day amp text message month
17661,worry,car alarm amp immobilise make inched complex costly key code neither immobilise
17662,worry,mention wish could much go sad day
17663,worry,mention still take call next talk got disconnect got
17664,neutral,mention want call go michigan
17665,surprise,mention idea mean bb
17666,sadness,ugh back kill
17667,worry,true theatr call music theatr actor wish cri xx
17668,worry,weekend yay got work pm though suck cause like last weekend parti im gonna
17669,worry,great cloud really really dark grey right outside office window sure lotta precis
17670,neutral,rain move west thwart plan wee nap outside
17671,worry,mention wish im chicago
17672,sadness,mention suppose go tomorrow voodoo use ga ticket money pay car inspect fee
17673,worry,left amp already miss nashville back sunday
17674,hate,mention cours go
17675,worry,want get
17676,worry,mention poor little woman smash head
17677,love,increasingly convince model lactose inter given deep aid love cheese total suck
17678,worry,think lost blow post
17679,hate,really disappoint
17680,sadness,work
17681,sadness,bore tear without boy dad week
17682,hate,go voodoo busi today funny hate busi day
17683,worry,bed sore nipple
17684,surprise,mention way hot
17685,worry,mention want beta test saw thread result announce
17686,enthusiasm,mention ohh wonder happen
17687,neutral,anybody wanna comment
17688,sadness,mention europen marijuana usual lack latter current
17689,neutral,mention see saturday
17690,neutral,ahh member toaster mention play void union sick miss mention union
17691,surprise,point gonna left tommy prize
17692,worry,mention cant drink cause dont dd take home
17693,sadness,sick sad miss martini long tonight
17694,sadness,go yum dinner watch bad girlfriend play call time tomorrow
17695,sadness,mention groom think die old maid laugh loud
17696,worry,mention call pick think desert shootout
17697,worry,aww feel bad cause dunno nicol city look probably worry sorry hun
17698,empty,dear rain suck gotta chang plan tonight
17699,worry,confuse
17700,empty,mention month end till
17701,worry,sunburnt
17702,happiness,big moan dave bedrock im hr pity coloursfest ahoy
17703,neutral,goin bed
17704,hate,gonna cri car look good clean fuck rain always wash right rain
17705,sadness,mention miss
17706,neutral,mention happen sex quote
17707,worry,mention noth much man wait insure card come cant get gordon w reshape
17708,surprise,mention busi wit work busi go
17709,love,mention aha took quiz fb miss fly one
17710,worry,mention sad wish go
17711,hate,hour later hav new telecom phone moment work stupid telecom
17712,worry,get really wind
17713,worry,mention sorry hear dog
17714,sadness,beat time low smile soo want go metro station cheap shot wont all break bone
17715,surprise,mention done
17716,neutral,mention tri mention unstopp
17717,surprise,mention play either
17718,worry,mention start throw u traffic crazy
17719,fun,mention abrook mention wain wil diet wain mention india dunoon
17720,sadness,worst day ever told im chap
17721,enthusiasm,bed two day migraine
17722,neutral,mention done
17723,neutral,well sound like sum kid match lit sum grass fire
17724,worry,mention go see puppy want alon
17725,sadness,there much light pollute see star
17726,worry,recommend return broken duck toy batten came person give may get mad trust
17727,neutral,really miss satan kitty
17728,neutral,mom said eat lot
17729,surprise,mention pleasence im really tire stuck wait room hour midnight england hw much money get month
17730,worry,mention read mom hope okay
17731,worry,mention could let know sooner call work short notice oh well next time
17732,hate,clean follow list block porn girl amp crap look like stammer
17733,sadness,im friend anyone anymore
17734,neutral,bear meet shit never mind sg take masai vodka ginger ale lime
17735,neutral,mention nope back week sigh
17736,neutral,hate stupid boy aargh
17737,fun,oh god great day today went art things noe really want june hd bed part rain come mister sun
17738,worry,mention ahh well spend short amount time mum scroll back mug wink
17739,hate,mention hate much
17740,sadness,friend san pablo right drink laugh swim uhuru
17741,worry,well hot want listen line vine tri time
17742,worry,mention oh vote worry already vote time earlier
17743,neutral,run today let slight ach bad excuse make tomorrow go
17744,happiness,whole life come inched amaze
17745,worry,ive got mad cramp leg
17746,sadness,aw one fish die
17747,relief,clean follow list block porn girl amp crap look like stammer
17748,worry,mention ye please miss p bout text
17749,sadness,give pp hour tri talk mention love minute laugh loud
17750,hate,mention damn shame body wast
17751,hate,mention ftp browser mac may visit old mac lab sneakernet zip kink anyone fetch floppy dm
17752,neutral,mention yeah always
17753,sadness,puppy sick
17754,neutral,mention think test read laugh loud figure tml
17755,love,mention like gerry
17756,worry,mention hmm well least got sorry though wish could keep
17757,sadness,mention hey mitchel live get chance call
17758,empty,milkshake hot day unsettle stomach
17759,neutral,forgot move east make hour home
17760,sadness,mention order replace palm centro cut phone got kill want palm pre cant afford data plan
17761,worry,realize reason sad today really gloom outside
17762,sadness,mention miss sad get meet
17763,love,hope one day all go date year old boyfriend without parent
17764,sadness,dark knight miss piss
17765,worry,got real bad headache
17766,sadness,sorry delay publish week show technic difficult encode soon possible may saturday
17767,neutral,mention call call think answer aha
17768,sadness,wish cali wit mari nd unita see vic fair
17769,worry,june go long lone month
17770,worry,mention aww miss usa
17771,sadness,feel like dream got crush
17772,neutral,mention hey tri reach couple month umm certain ppl tell im look
17773,worry,im hungry thirst afraid go downstairs
17774,worry,mention kept call call never got
17775,worry,mention think tea somewhere probably old though
17776,worry,mention yay suppose go miss
17777,worry,farmer sunburn ahh
17778,relief,hate get e mail go stuff ice toe long story calpol cold soon night xx
17779,neutral,mention cut always late aha dammit got good
17780,neutral,away hour
17781,sadness,home w bae amp myra mean
17782,worry,dont know get hair cut
17783,surprise,oh dear gareth b day moro girlfriend abroad lucky niamh come home moro poor gareth listen talk day
17784,love,mention grrr want come keep simply stupid justice
17785,sadness,last class scott july today go miss bought bottle champagne congratulatory gift
17786,sadness,hmm love wish tire sleep
17787,sadness,mention fun sad guy
17788,empty,tri get sleep mum blare le mi really loudly sit room
17789,sadness,mention n chang profit background neither
17790,worry,mention sure make
17791,neutral,mention show awhile mine took hour
17792,sadness,absolute gut go bad tonight guy fun got home need head downtown gd heat
17793,sadness,mention would really great except im allow talk boy phone long story fault
17794,relief,back home finer wife grandfather today time homework
17795,surprise,wow month since twitter suppose go see maat pa same sleep
17796,worry,gonna mad hungry get home forgot money
17797,surprise,realize hold membership gym saw bank statement
17798,sadness,attempt cheat system green day ticket damn attempt
17799,sadness,gloom outside make sad miss sun happy
17800,worry,mention wish all talk
17801,worry,mention ohh noo joshua im soon sorry im really sorry dint get see plea forgive sorry love
17802,worry,mention
17803,happiness,mention um that favorite beer must torture make
17804,worry,mention sorry day good make feel better know beat oprah m twitterworld
17805,worry,hate storm
17806,sadness,mention rain every single afternoon florida fair
17807,sadness,mention ye herrera dude gonna fuck cri
17808,worry,mention laugh loud charlie miss charlie
17809,worry,sleep much ask p
17810,empty,excuse m gomez said could leave
17811,worry,mention oh yah dad landmine
17812,love,best friend away special lamp said gonna bring
17813,worry,mention still tri see star trek woman go alon bf pretty much worthless anyway laugh loud
17814,happiness,doctor anyone wanna cometh bit
17815,worry,moment silence budget bout b spend way much oh god budget
17816,neutral,mention
17817,worry,look like freak tomato goin graduate
17818,sadness,mention fair
17819,sadness,mention sad miss call time got home practice late
17820,worry,mention sorry sister think get see man bit make happy guy call tonight
17821,worry,hmm olga probably
17822,happiness,go home enjoy left day believe quickly week flew time sweet
17823,neutral,believe clinton bush seminar together go
17824,worry,take picture moon tomorrow night gonna happen today
17825,empty,mention tri chang pic twitter hater im doctor awesome im medic assist
17826,neutral,mention b slept miss ride chill tell friday night
17827,worry,darn crave wed cake crave hard satisfy anth el
17828,worry,explain woodman offramp close mention break suspect rob union bank riverside amp woodman sherman oak
17829,neutral,mention vicki lose demi mile
17830,worry,mention wasnt suppose yesterday
17831,empty,heyheyheyheyehyeyi noo tokyo hotel shirt im fri oh god shame
17832,neutral,mention hey gerardo late response day talk bout forgive brother given wrong direct got way upset
17833,love,sweet booth newport people outside
17834,sadness,oh today jay len last show miss mr lend
17835,hate,head hurt air fresher horrible scent ever im super gross
17836,worry,mention sorry issue laugh loud weekend start hour ago
17837,sadness,mention think wish could give tear blood make feel better
17838,neutral,mention gotta leave early like
17839,surprise,mention wait like hour never got talk
17840,love,alon friday night
17841,neutral,think time lead
17842,neutral,mr amp heat
17843,sadness,gonna miss thick blood next friday
17844,neutral,go thru bill
17845,worry,mention really gutwrench sad
17846,sadness,mention hey go last night expect see broadway
17847,worry,mention bed finger toe every cross pick lol hope ur well got back safe poor jon xx
17848,worry,visit family hospital fun
17849,sadness,suck playmate mia weekend sad
17850,love,mention adore
17851,surprise,start thunder nowhere
17852,love,mention app said need later
17853,hate,danger problem wow blow engine urgh
17854,worry,burn tummy
17855,hate,god huge teaser
17856,worry,mention yeah every become difficult generals break east problem
17857,neutral,mention get explain awhile ago
17858,neutral,guess take nap
17859,surprise,miss best friend saw afternoon sad
17860,sadness,mention work except use word autofollow got follow bot sell autofollow program
17861,worry,trouble breath pain damn fever gt
17862,hate,power outa door freezer prop open g ice cream make slippy floor er f er
17863,hate,rp mention rp mention rp mention crack mine threw mouth lil bit leg laugh loud
17864,empty,nose chap yuck
17865,worry,mention sorry mean current world phone amp use app confuse
17866,worry,mention aww guess mani people online though
17867,neutral,mention ub bring cup
17868,worry,well phone today wait till june th get better deal voodoo good
17869,worry,dont want home weekend
17870,happiness,mention hahahaha watch miss ocean
17871,love,mention thank
17872,worry,havent gotten prank call make laugh long
17873,hate,mention dont worry hate nobody comment pic
17874,sadness,kill sick n friday night
17875,worry,tummy hurt
17876,hate,go nowhere bitch
17877,worry,wish gave one last keep simply stupid
17878,love,love mention much call talk fan love lot mitchel see el canon june
17879,sadness,mention really
17880,worry,vibe current down thing amis joker shirt look poke shirt want peanut butter sandwich
17881,enthusiasm,amber weekend labour hard work ahead
17882,sadness,noth note boo total bore
17883,sadness,bore headache
17884,sadness,mention jealous suppose go see seattle friend summer bail work
17885,empty,read online symptom sleep much headache throughout day headache day
17886,neutral,okay back later
17887,enthusiasm,mention cool actual believe begun jail sentence arkansas
17888,neutral,mention plain go crazy
17889,neutral,punkrockchick aha saw commerce couldnt kill
17890,worry,mention okay final get meet dia name right oh gee feel stupid
17891,worry,mention yeah behind classic cinema calendar make time go see anyway
17892,neutral,still cant figure twitter thing phone dont phone
17893,neutral,mention always yell trade see old people super nice car old people car
17894,neutral,mention appeal fact would hop pretty quick dont wanna impose sack day hun ur friend
17895,love,good music lyric seem like human lost bail understand what good what bad
17896,hate,stupid wireless
17897,empty,start get annoy socialscop need update
17898,hate,ahh almost wait got work rite hat club come ampa grimm company oh ampa cook wink
17899,sadness,tip finger hurt laugh
17900,sadness,tummy kinda hurt
17901,sadness,feel extreme depress right
17902,sadness,head hurt wait see new photoshop
17903,worry,really suck suppose home couple day hate border visa
17904,neutral,wanna go home
17905,sadness,six gave told go afterparti id work go
17906,neutral,life college stay home momlaughelay bash
17907,neutral,mention black good tight say tight good
17908,neutral,one year since met matt corby
17909,worry,mention yay congrats afraid check grade
17910,worry,mention arch sorry could come great get know everyone
17911,sadness,ugh tire
17912,neutral,mention aww cant wait back la love
17913,fun,lauretis miss fun mention clips
17914,love,wow found new box call box im geek
17915,surprise,mention oh god twin sister fav song
17916,worry,gary tri ommegang school indulge school indulge metal best
17917,neutral,early
17918,worry,mention goin hun worry
17919,neutral,mention twitter happy score swap think drop point since yesterday
17920,worry,poor johnny sick look like go vet tomorrow
17921,sadness,simply nice dinner exist world
17922,sadness,last day school sad
17923,sadness,johnny actual invite move mani thing concert
17924,sadness,mention really love ride bad record
17925,love,reason corona light last much better alon
17926,worry,headache
17927,neutral,client consult valley ranch home work
17928,fun,nurse sick guinea pig back health cat jealous
17929,sadness,dream crush spock like lady
17930,worry,mention wow min im stay hous n nobody come either laugh loud
17931,worry,really big spider floor two met away actual little scare
17932,sadness,miss fun mention clips
17933,worry,hate dream awesome parti wake home eager parti
17934,worry,anybody el experience pain slowdown casebook
17935,worry,wow realize seat far back hope enjoy show enough paid ticket
17936,worry,oh must get old mom use watch show miss
17937,worry,move hard work last night hous grew
17938,sadness,gotta show monday hope head better
17939,worry,mention hang one get hot
17940,sadness,okay feel really sick
17941,worry,finish bowl family define friend
17942,sadness,mention miss show tonight go lake eri enjoy quiet
17943,sadness,rome italy love leg style difficult live chicago leg sad
17944,neutral,learn hard way firework backward compact firework
17945,sadness,end face face bear drive home even sadly took wood haul cameraphon
17946,surprise,seaman wow caricom plea chuck square unix put cease desist order project
17947,neutral,lady clean im go calico moment much thing today wanna go watch hanna montana move
17948,sadness,need speak mention left phone home
17949,neutral,mention
17950,happiness,new favorite group davey hiamplow shit really playgroup come miami hell florida rock bell
17951,happiness,mention came cold cheese sauce good though
17952,love,miss doddie
17953,worry,dentist chair numb left side crown prep fun keep mouth open long
17954,neutral,mention aww
17955,happiness,mention got hour ago yet
17956,sadness,regret go move audit today seem like neighbor gonna get call back
17957,worry,tweetdeck pull
17958,happiness,mention lucky rain city today enjoy wink
17959,neutral,mention ship japan
17960,surprise,head vanity heard close east bound crack
17961,worry,miss cat make sad
17962,worry,mention oh god sorry hear
17963,neutral,everytime go headless make sad probably wont buy awesome shirt see
17964,worry,mention hi sweetie friday night miss sidekick amp slipper friday night w
17965,neutral,mention already seen jazz know blew roof suppose go pond parti could make last night
17966,sadness,fudge burn finger oil hurt
17967,worry,want new ui want actual set
17968,worry,mention laugh loud know aha fall asleep get bore shaun p joke
17969,sadness,dumb keep lose follow
17970,empty,bore homework done master program friday nite wit tutin
17971,neutral,suck
17972,sadness,big si move day gna b weird without x
17973,hate,mention anyone wear victoria secret must submit picture rest u cannon secret must stay secret
17974,fun,acsvxdcbgfn soccer shall see young phoebe want dress though
17975,worry,friday night anth might go taco lunch truck pasadena may
17976,sadness,mention sad day great guy enthusiast teacher
17977,surprise,mention jordan baby talk wish could met ugh
17978,sadness,noth friday night noth boyfriend work
17979,neutral,mention chang background profit picture
17980,relief,cours im almost there traffic
17981,sadness,believe preseason start august football drawl
17982,love,oh push trend tonight awesome woefully behind onto start read
17983,happiness,mention call kitten new name ryan make fun way say kitten
17984,happiness,mention graduate sunday june th
17985,empty,mention suck know feel sorry let know move good
17986,hate,mention sorry x men suck bad way p
17987,sadness,mention tune listen meet know high school college french cut anymore
17988,worry,engine car blew
17989,neutral,mention im sure okay ill save know wei mine
17990,love,boy grandpa go
17991,neutral,mention winter snow
17992,happiness,want die want take life fore tri get duet
17993,neutral,miss everybody
17994,sadness,home got nice plug schipol
17995,relief,stuff gotta get amp go netball
17996,relief,ugh la airport ground stop mean stuck plane tarmac lax
17997,happiness,internet access board mean see bad weather fly
17998,surprise,sister rip heart outta fun chest im super hurt right ever need life
17999,neutral,mention ever answer ur fan wish would question want ask month
18000,neutral,would dover race play classic
18001,love,good news final finish workout paul hour bad news resist band torn
18002,sadness,ayesha piggy die catch fuck break man
18003,worry,well sacramento hope appreci rival say amp treat well sit omaha pout
18004,enthusiasm,mention mean mite sutton doin hope get c head back keyboard
18005,surprise,stop coffee maryland rest area least five enter middle school luck
18006,surprise,cannon believe someone smash car window stole laptop obvious dont mum
18007,hate,mention really need mind busi eat discord reason people vomit asshole
18008,relief,mention town email noth one though
18009,worry,caught herd somali
18010,worry,cousin pick today turn early
18011,worry,mention feel pain dont hate day
18012,neutral,left phone home wont get back till dont call
18013,sadness,realize today made sad least heal begin
18014,fun,um write smut tonight like smut want write smut yet noth smut
18015,surprise,mention get better oh god still dont believe got picture soo sad gonna see
18016,sadness,mention know aw never fear got load fund drunken catch post exam ja
18017,empty,goddamn blood stress shit send body haywire
18018,enthusiasm,ok idea tomorrow make fun cause dont know
18019,neutral,two month ago became worthless
18020,worry,mention exam yuck hectic
18021,happiness,mention ye ye gun laugh loud
18022,sadness,mention hug aw sorry feel sad e
18023,worry,mention oh noon sorry go
18024,sadness,mention innerchild sarah like cook sad feel sad guilty
18025,sadness,mention unfortun ye
18026,worry,mention would know tell busi cabin pay attend
18027,sadness,sum plc cheer
18028,hate,mention ok brother chang num give sh good dude
18029,sadness,mention come back canada soon miss
18030,sadness,mention sure talk kabul sex part though sorry dear
18031,worry,im soo damn hungry wat eat
18032,neutral,mention cute pic girl vibrant get anth even close
18033,sadness,mention know mother bitch want take move bitch
18034,neutral,mention followfriday back turn saturday there always next week movement photo site
18035,worry,mention aww noon sound great
18036,sadness,mention sure never use sorry
18037,neutral,mention late reply tweetdeck always log onto work account forget check person account
18038,worry,shift advance database hour minute fail
18039,happiness,pm leave desk last week safari time fly good weekend big
18040,hate,mention maman pain come wanna come eat laugh loud roll eye
18041,sadness,mention order new blackberry arrive tue may die without phone withdraw already
18042,neutral,confuse twitter everyone twitter follow
18043,worry,phone open download app thing forgot cord home
18044,worry,mention people appreci nature sad lil dude survive
18045,happiness,mention aww well know doull back visit laugh hang constantly noth heartbreak goodbye
18046,enthusiasm,really want go artemia verrico sunday quest laugh loud emma die dont
18047,worry,mention damn
18048,sadness,mention think get state probably still tour dammit
18049,sadness,mention phone open download app thing forgot cord home
18050,worry,miss soccer moss
18051,neutral,poop shirt insane crack screen phone dang
18052,sadness,oh work either never much bad thing eh uk eh
18053,worry,iamkiara im sick fell last night outside coz put cometh bin
18054,sadness,mention oh total want see star trek kristin already seen hubby
18055,worry,little ira moment
18056,surprise,realize fantasy nerdfriend longer live richest
18057,sadness,mention need one
18058,worry,dentist tooth really hurt ahh yeah girl mention may know kate lizzie mcguire love
18059,neutral,mention yum home delivery
18060,worry,fight feel sick hope tire really feel well though
18061,worry,mention wanna picture hotel secure allow sad even know gonna see
18062,sadness,mr bate left
18063,worry,greenhill drive game without baseball guy clown
18064,surprise,ecaytrad people said come stuff bug people show
18065,worry,fight cold
18066,sadness,mention ir hate lack trowel gamow always make sad
18067,worry,aww tummy ach
18068,sadness,sad hollyhocks
18069,worry,drive past matter cover w stop promise make time next week
18070,surprise,mention im sick fell last night outside coz put cometh bin
18071,fun,mention laugh loud saw go last name common noth special
18072,worry,mention yeah unload pic amp posit right poof gone could save
18073,empty,mention nope one really good cuban place ask
18074,hate,day left freedom really want get weekend hate essay
18075,sadness,exhaust hour work week
18076,worry,need people shoot work new post process technique need show pp people want
18077,worry,mention uh oh gonna fire somebody
18078,worry,drive home trade car hope make
18079,happiness,mention maman wasnt pain come wanna come eat laugh loud roll eye
18080,sadness,mention bad news go take dog walk upset w
18081,sadness,drat land boot die think boot like parsley one go seed first season
18082,sadness,got work late lame busi day
18083,sadness,mention sad cancel silverstone show better see sandown park
18084,worry,think debra leave july
18085,sadness,mention oh went friend myth last night ran tarsier pin sad really cute
18086,neutral,want go see
18087,worry,oh wanna buy girl drew seeley allow talk tune store
18088,worry,mention chop liver
18089,worry,miss work peep
18090,worry,finish read twilight thought crap okay alright okay love really wanna read next one
18091,neutral,think get state probably still tour home dammit
18092,worry,feel well
18093,worry,poor lost duck outside olive garden make sad
18094,hate,gonna watch bad time
18095,neutral,back basic
18096,sadness,hot thermometer show c moment
18097,sadness,mention feel way hour sleep still exhaust ahh
18098,neutral,mention work phone macbook flat
18099,relief,got work
18100,worry,mention gosh poor thing get well soon leg xx
18101,neutral,month end still stuck office wait straggler get together
18102,love,ugh work suck could sher right
18103,hate,mention mention ahh man ok end doin sustain el let kno meet see ya gone
18104,sadness,last day tv front w colleague sydney pari london
18105,worry,sit wait hope lady would hurry hell hate move super suck
18106,neutral,mention rather find expert story
18107,sadness,feel pretty tire lone
18108,sadness,mention weak casebook fail
18109,sadness,panda express long miss
18110,neutral,got slow cooker go get read work
18111,neutral,listen broken limehouse repeat
18112,sadness,took guy think bluff three time row get away back show shit work
18113,empty,leather jacketsuncomfort thing
18114,worry,mention damn brah happy
18115,love,mention made look old picture cat want ditto
18116,neutral,mention omelette today dim sum tomorrow feast
18117,worry,went long mile bike ride today start rain
18118,happiness,im full trial thick school milkshake mcdonald feel sick
18119,neutral,mention ok notice theatr know show vancouver though
18120,worry,mention sarcasm need pj fly hotspot parti fly home work next day
18121,sadness,doc said bone look fine enough also see rhumatologist old lady
18122,worry,mention welcome hey sent love mention way hospital today surgery sort old motorbike acid
18123,relief,mention noo parent found stash
18124,worry,ugh migraine
18125,love,sit bed fall asleep
18126,love,get go washboard good cause lush night
18127,worry,cower pain
18128,worry,stop cough feel like might bronchitis fun
18129,sadness,person stood world full spineless cunt make sad
18130,happiness,mention wifey like sky
18131,worry,phone go die premature
18132,sadness,tri swat fly buddhist magazine bad karma
18133,happiness,mention thank great day amp gonna long weekend exit yet miss tweed badly
18134,neutral,mention yeah miss nite
18135,love,mention oh god hair salon tear hope get soon watch real hous give nec
18136,sadness,mantra anyone kirk know sad drown sorrow wink
18137,happiness,hm happy want join drama practice today
18138,sadness,mention thank found article say cannon join uk though
18139,hate,hate horrible atmosphere pick quick kisskiss xx
18140,neutral,exam active director tomorrow
18141,worry,mention chance might come back monkton miss show tonight
18142,neutral,mention gosh need rude
18143,neutral,mention way sister read know little fact nd oldest sister husband keeper tho much
18144,worry,birthday wednesday young feel old
18145,surprise,chill p short long week someone continue knock door
18146,worry,feel good
18147,surprise,good night cant believe tomorrow cancel still gonna grid night gnp cant beat
18148,empty,ju drop dog im tall
18149,worry,mention happen yesterday phone call unwell parent yeah know got two
18150,sadness,reason live he reason im beg die
18151,sadness,couture work
18152,neutral,mention absolute jealous hell brenda
18153,worry,mention what rick
18154,surprise,mention gdr bummer want win
18155,worry,man need make loss go hustle weekend aka go nice relax weekend
18156,worry,mention what hous work hard
18157,happiness,still work database tri decide want eat
18158,neutral,mention ah voodoo want long update voodoo
18159,sadness,feel sad elizabeth
18160,worry,mention phone update got accord phone mine update chit fair
18161,neutral,mention wish area offer chine food delivery
18162,worry,sad day christian lacroix file bankruptcy
18163,sadness,people tote sorry phone dead resurrect hope version replace back tonight
18164,empty,feel fuck foot ach need been
18165,sadness,dozen want go work tomorrow
18166,worry,mention every weep
18167,worry,feel even work today
18168,love,mention mobil let stop think wink
18169,worry,tomorrow good appear move
18170,happiness,mention well still wait one shot
18171,empty,nomole adventure time
18172,love,damn goldfish oh well dinner anyway check blow voodoo
18173,worry,ahh need hurry shower huge storm hit
18174,enthusiasm,want crimson gem saga go play rf guerilla demo repeatedly mission fail die mani time pick around
18175,sadness,wish could head la e le sigh may someday
18176,neutral,mention couldnt call time phone would run give shootout happy
18177,worry,get see move
18178,worry,mention never call phone stammer said next hung get
18179,worry,listen darren hay spin talkin wacky friend go insane tire mess bout thing
18180,worry,ml step need ouch aa damn dryclean
18181,worry,wish love come home
18182,worry,barb tri figure del paint connect need good go home compute start work soon sh
18183,surprise,mention look phone book ur name first show like got ti ti number ur email
18184,worry,muscle back cramp hurt bad
18185,worry,mention suggest get rid love gasoline smell still car
18186,enthusiasm,sore weight lift howe good kind sore give man boob move power mind alon
18187,surprise,fault leave flip flop outside locker swim u korea oh would want take em r
18188,worry,wonder hard concern
18189,sadness,adventure time
18190,sadness,miss
18191,sadness,urgh every send keep send twitter forward suck life
18192,relief,mention sadly mention w follow update amp use twitter since may want name
18193,worry,ride daddy bike ye man bike convent dark without glass scare survive aha
18194,worry,mention could bad idea hayley
18195,worry,mention news yet
18196,worry,good night fellow glitterati back work tomorrow
18197,fun,write paper lot harder thought laugh loud
18198,worry,got battery acid open wound index finger fuck burn much
18199,surprise,mention what happen
18200,worry,mention understand anth said
18201,worry,still date bon iver next week
18202,hate,mention damn always miss
18203,worry,still babysit want noth boost
18204,sadness,got fight pavement think poor little knee
18205,sadness,stay home wife take daughter friend tokyo steak hous sadly body cooper today
18206,surprise,sniff sniff want app phone america free anima game show phone win uk
18207,love,exit jacki baby shower tomorrow go relax enjoy weekend monday better come fast
18208,worry,twitterberri work
18209,sadness,monarchy gonna bleed u dri noth slave pig c record country anymore
18210,neutral,mention end count hang head lower
18211,fun,saw ucla bookstore convince every single major universe better bookstore mention fun far
18212,worry,crazy kid nap think heat still tell go grandma cut sick
18213,worry,mention reply casebook state little upset
18214,worry,blip fm last leg
18215,neutral,right folk really must go babysit nephew morn noth early start twilight time mind nightfall x
18216,sadness,stay home unpack crap
18217,neutral,late
18218,neutral,hi name kate addict mm
18219,neutral,get dinner read much go life seem
18220,neutral,need dayquil
18221,sadness,mention want go walk still miss satan
18222,worry,ahh im get really tire er int yet im might go sleep without talk
18223,worry,still feel weird ex engage mom made thing work even want still odd
18224,neutral,mention see sec clip new moon trailer online com check big tea though
18225,fun,anima store divergent go crazy pikemen stuff wish money
18226,happiness,jeff right call duty own gotta figure xtra copy wolverton bought earlier week
18227,sadness,either always train work
18228,surprise,also found also last youth group meet
18229,neutral,count hour final drink blossom hill stupid work
18230,sadness,go work
18231,enthusiasm,hot tummy ach sleep lot chem tomorrow least final look forward
18232,worry,work sick blow kill feel like crap
18233,neutral,mention ahh work
18234,fun,outside play ball dog hot sweat
18235,neutral,assign due midnight profession write class amp really wish already done luv write thought id like
18236,neutral,mention took compute new drive amp screen would come back order new compute amp wait
18237,surprise,h still office really tire wanna go home
18238,neutral,mention oh darn london
18239,worry,sorry neglect twitter
18240,love,mention ye love miss mention other told private
18241,sadness,head hurt
18242,worry,wish lay side comfort posit tire lay
18243,worry,got meet tomorrow midday hope finger cross sort head still hurt though
18244,neutral,reorder razor ship today pay review razor ignore mail
18245,worry,mention casebook
18246,sadness,mention would luv hear music battery tv play beside think kind vampire move
18247,worry,im hang cousin holly talkin grandpa phone went dead
18248,worry,mention imagine really lost lost contact dt saddest day life aha
18249,sadness,traffic lame matter hard tri get anywhere time move yay
18250,neutral,see traffic northbound commit
18251,sadness,summer one test call im loner
18252,neutral,mention aha would surprise cute one either taken straight
18253,surprise,mention read
18254,surprise,twitter drive nut wont let download profit pic guess keep tri
18255,enthusiasm,appear paid parti rose jean adam without child wild imagine wink
18256,sadness,killer headache want food
18257,neutral,mention feel girl
18258,worry,much well
18259,neutral,mention hope get spend weekend home
18260,worry,mention leave u
18261,sadness,miss already
18262,neutral,mention ouch pick nose count
18263,neutral,mention mean laugh little giggle come sorry
18264,sadness,sad miss mention go away parti due much work really gonna miss kid
18265,sadness,slept miss bu train delay stop stop late work fuck hell
18266,hate,hate beech mess black outfit
18267,worry,back hurt
18268,worry,well made list look better anth number picture since already close tab
18269,sadness,must weather b nice bad minute
18270,hate,poop mention hog shutter
18271,neutral,rehearse start
18272,love,bought two top scarf yesterday sister success hijack morn wear breakfast remove tag
18273,worry,minute till best day im late class
18274,sadness,find trust hair tie hair spill place run mom band work normal one hurt
18275,fun,mention laugh loud mean thought go london laugh yea xx
18276,neutral,got home leave right back
18277,surprise,really warm day seattle reed school melt
18278,fun,wish ro feel better
18279,sadness,ugh gone new phone screen black mean test
18280,worry,mention wave wanna come get diablo bark much til made sick
18281,worry,ok twitter near exit thought would
18282,worry,index tonsil good thing ive advise eat lot ice cream solid food amp im bed ridden
18283,neutral,arch watch batman
18284,fun,friend work
18285,sadness,mouth hurt wish could cut head
18286,love,soon warm
18287,sadness,sell drum sad day
18288,happiness,today good little girl ollie complete sympathy vote cute aidan david l tweet x
18289,neutral,mention least tri violent hump like female dog
18290,happiness,mention actual friend gave file today laugh loud cda file know convert mp
18291,sadness,oh god icecream
18292,sadness,mention ye need listen sad sp song
18293,enthusiasm,hey anyone goin edmonton energy game wanna live update plea dont post live score
18294,sadness,got early pay bill figure like bandage get quickly bad wrong
18295,neutral,mention wanna dubai
18296,neutral,go jack tribute match today
18297,worry,mention what make feel bad ill bring surprise
18298,neutral,mention shoot rob miss got home
